,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
0,2710,87 WPM,97.8%,49,1/5,"Oct. 11, 2021",
1,2709,92 WPM,99.2%,37,2/5,"Oct. 11, 2021",
2,2708,87 WPM,98.1%,68,4/5,"Oct. 11, 2021",
3,2707,86 WPM,97.2%,70,1/4,"Oct. 11, 2021",
4,2706,85 WPM,97.7%,45,3/5,"Oct. 11, 2021",
5,2705,86 WPM,98.2%,78,1/5,"Oct. 10, 2021",
6,2704,75 WPM,97.1%,51,1/5,"Oct. 8, 2021",
7,2703,73 WPM,96.8%,72,4/5,"Oct. 6, 2021",
8,2702,80 WPM,97.1%,78,4/5,"Oct. 6, 2021",
9,2701,82 WPM,96.9%,64,4/5,"Oct. 6, 2021",
10,2700,85 WPM,98.3%,56,5/5,"Oct. 6, 2021",
11,2699,87 WPM,97.8%,69,2/5,"Oct. 6, 2021",
12,2698,85 WPM,96.8%,70,2/5,"Oct. 6, 2021",
13,2697,92 WPM,98.5%,95,1/5,"Oct. 6, 2021",
14,2696,80 WPM,98.3%,86,1/4,"Oct. 6, 2021",
15,2695,77 WPM,96.3%,68,3/5,"Oct. 6, 2021",
16,2694,84 WPM,97.2%,35,1/5,"Oct. 5, 2021",
17,2693,83 WPM,98.1%,51,2/5,"Oct. 5, 2021",
18,2692,92 WPM,97.6%,58,2/5,"Oct. 5, 2021",
19,2691,83 WPM,97.4%,55,1/5,"Oct. 5, 2021",
20,2690,93 WPM,97.4%,53,1/5,"Oct. 5, 2021",
21,2689,89 WPM,98.0%,55,2/5,"Oct. 5, 2021",
22,2688,91 WPM,97.5%,45,1/5,"Oct. 5, 2021",
23,2687,84 WPM,97.2%,60,1/4,"Sept. 30, 2021",
24,2686,94 WPM,99.2%,80,4/5,"Sept. 30, 2021",
25,2685,77 WPM,97.0%,47,3/4,"Sept. 30, 2021",
26,2684,78 WPM,96.7%,59,2/5,"Sept. 30, 2021",
27,2683,81 WPM,96.9%,58,1/5,"Sept. 30, 2021",
28,2682,86 WPM,98.4%,74,1/4,"Sept. 30, 2021",
29,2681,80 WPM,97.2%,72,1/5,"Sept. 30, 2021",
30,2680,81 WPM,97.0%,89,4/5,"Sept. 29, 2021",
31,2679,81 WPM,96.1%,65,3/5,"Sept. 29, 2021",
32,2678,77 WPM,95.4%,44,3/5,"Sept. 29, 2021",
33,2677,79 WPM,96.8%,87,2/5,"Sept. 29, 2021",
34,2676,77 WPM,97.3%,46,5/5,"Sept. 29, 2021",
35,2675,81 WPM,97.4%,66,2/5,"Sept. 29, 2021",
36,2674,76 WPM,97.0%,64,3/5,"Sept. 29, 2021",
37,2673,90 WPM,98.2%,63,3/5,"Sept. 29, 2021",
38,2672,85 WPM,97.9%,60,4/5,"Sept. 23, 2021",
39,2671,84 WPM,97.6%,52,2/5,"Sept. 22, 2021",
40,2670,96 WPM,99.0%,59,1/4,"Sept. 22, 2021",
41,2669,79 WPM,98.0%,62,3/5,"Sept. 22, 2021",
42,2668,81 WPM,97.9%,51,2/5,"Sept. 22, 2021",
