,amount,amount_usd,coincode,n-transactions,pool_usd,price,transactionHash,transactionInstant,volume
0xccbf1c9e8b4f2cdf3bfba1098b8f56f97d219d53,145.2509786316063,1.621295901227374,ccCLO (ccCLO),6,1742.9111398149987,0.0113913927614749,0x77cc56e44568223e6089499c55159597fc5ed418e739425908e9edafc27f10a8,2021-11-09 17:47:08,11663.681101923688
0x2d0fcbf31fcada1090258f3b043aed542141718a,71.49592404317455,5.350578229560851,XLOOT (XLOOT),1,7709.681835206598,0.0748375281691551,0x1a9f9b5e6139d993a97e42928d1f7e65dc88108e249de10e5ecd0056d2fbbb5d,2021-11-09 17:47:11,406.697950348258
0x86ef5e73edb2fea111909fe35afcc564572acc06,147.0,6.2449605690768095,BananaSplitB... (BANANA...),1,1.2731217347448232,0.0424827249597061,0xbb2c8b25d8cfc7c1f611cb65cf99a4a942db1713418711aa522bcda06fd4d5de,2021-11-09 17:47:14,37.932157054543495
0x9fef7c407f2b9ad6fcc4b1f373060352a88ff932,25287088890.0,330.8045832900763,Bloktopia (BLOK),1,3904.570674284664,1.3081955962945813e-08,0x2dd3d4e13995c0f228850f42d919ee394be91f8633ca35253afda0f27a21b3b7,2021-11-09 17:47:35,399.1985297515879
0x72b587c50a3899dce4b25a95b2994c417830c603,353.8281536787293,219.94750183993045,Iron Key (IronKe...),4,474.5089182557679,0.6216223880241014,0xf44ebd82966005f9cac68695c0272f367a9ba1f838590b1786d01eb9be4c9b82,2021-11-09 17:48:53,245119.8124256134
0x9a3a336b0882105459ae5938b4684b85e186a55c,7469.944388083253,20.782484408598304,WWF Swap (WWF),2,8094.601689075491,0.0027821471391075475,0x40ef7dd3e86651ce3394e8a1c6a380da6e989a20647bc4f7c2d007a5c977a776,2021-11-09 17:49:02,79.13584876060486
0x7f84a94ba46ccdc78325d0484f62451f3e4b8076,58977073.40206007,9.828599166790728,RugBiden (RUGBID...),1,2621.0286916396367,1.6665118494074706e-07,0x0a59a77d1a1febc78628f6243ee7a8bccf4d65a5506698bf25f30c9b16cd2eed,2021-11-09 17:47:47,11050.43557226658
0x0901d1aca07aa728df1c45a29a90b86552909538,633940587837.0,9.080684501241244,Ethereum SV (ETHSV),3,731.2895143913248,1.4324188536696258e-11,0x17d2437dc5a5d7d097dbd2afb5e310eb2d3d6397e348fd2e38546ddf82cb9f7e,2021-11-09 17:48:32,6.3275516629219055
0xa03c494ed39aa54f9b1d85647a54670f54fa91c8,84392730000.0009,17.270446231215995,Pablo EscoMa... (ESCOMA...),1,4747.415336652528,2.0464376767069638e-10,0xb2ce34727f9c18444084ace527067517c1d969d9de531042a25d3c234c010094,2021-11-09 17:48:56,3945.805661857128
0x5b27ba5a9a987a77cd62a435a311604ceb9957a1,5474.579636744408,77.89012834676377,BFT (BFT),1,322.5834133251772,0.014227599836885929,0x6de643aea785e75e5c1c14b989c8366fab9b2d84011f750fa3e2117250d22132,2021-11-09 17:49:02,20915.263008117676
